"filename", "language", "JSON", "HTML", "Markdown", "JavaScript", "XML", "JavaScript JSX", "YAML", "comment", "blank", "total"
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/pages/Account.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/pages/Booking.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/pages/Bookings.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/pages/Cabins.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/pages/Checkin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/pages/Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/pages/Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/pages/PageNotFound.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 7, 48
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/pages/Settings.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/pages/Users.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/services/apiAuth.js", "JavaScript", 0, 0, 0, 55, 0, 0, 0, 3, 17, 75
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/services/apiBookings.js", "JavaScript", 0, 0, 0, 98, 0, 0, 0, 10, 24, 132
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/services/apiCabins.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 5, 18, 70
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/services/apiSettings.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 2, 5, 28
"/home/samu/Documentos/PROGRAMACION/CURSOS/REACT/16-the-wild-oasis/src/services/supabase.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 1, 2, 9
